"Country or Area","Year","Item","Value"
"Barbados","2013","Imports of goods and services","2398150000"
"Barbados","2013","Gross Domestic Product (GDP)","4677248500"
"Barbados","2012","Final consumption expenditure","4213648500"
"Barbados","2012","Household consumption expenditure (including Non-profit institutions serving households)","3512234500"
"Barbados","2012","General government final consumption expenditure","701414000"
"Barbados","2012","Gross capital formation","745924500"
"Barbados","2012","Gross fixed capital formation (including Acquisitions less disposals of valuables)","736175500"
"Barbados","2012","Changes in inventories","9749000"
"Barbados","2012","Exports of goods and services","1811200000"
"Barbados","2012","Imports of goods and services","2210000000"
"Barbados","2012","Gross Domestic Product (GDP)","4610096000"
"Barbados","2011","Final consumption expenditure","4198679500"
"Barbados","2011","Household consumption expenditure (including Non-profit institutions serving households)","3478252500"
"Barbados","2011","General government final consumption expenditure","720427000"
"Barbados","2011","Gross capital formation","794384000"
"Barbados","2011","Gross fixed capital formation (including Acquisitions less disposals of valuables)","784834000"
"Barbados","2011","Changes in inventories","9550000"
"Barbados","2011","Exports of goods and services","1766750000"
"Barbados","2011","Imports of goods and services","2266450000"
"Barbados","2011","Gross Domestic Product (GDP)","4657699500"
"Barbados","2010","Final consumption expenditure","4078565000"
"Barbados","2010","Household consumption expenditure (including Non-profit institutions serving households)","3379773000"
"Barbados","2010","General government final consumption expenditure","698792000"
"Barbados","2010","Gross capital formation","719367500"
"Barbados","2010","Gross fixed capital formation (including Acquisitions less disposals of valuables)","710817500"
"Barbados","2010","Changes in inventories","8550000"
"Barbados","2010","Exports of goods and services","1763300000"
"Barbados","2010","Imports of goods and services","2174250000"
"Barbados","2010","Gross Domestic Product (GDP)","4529928500"
"Barbados","2009","Final consumption expenditure","3898170000"
"Barbados","2009","Household consumption expenditure (including Non-profit institutions serving households)","3190050000"
"Barbados","2009","General government final consumption expenditure","708120000"
"Barbados","2009","Gross capital formation","757040000"
"Barbados","2009","Gross fixed capital formation (including Acquisitions less disposals of valuables)","748390000"
"Barbados","2009","Changes in inventories","8650000"
"Barbados","2009","Exports of goods and services","1904950000"
"Barbados","2009","Imports of goods and services","2045250000"
"Barbados","2009","Gross Domestic Product (GDP)","4465660000"
"Barbados","2008","Final consumption expenditure","4062180000"
"Barbados","2008","Household consumption expenditure (including Non-profit institutions serving households)","3424720000"
"Barbados","2008","General government final consumption expenditure","637460000"
"Barbados","2008","Gross capital formation","875485000"
"Barbados","2008","Gross fixed capital formation (including Acquisitions less disposals of valuables)","868635000"
"Barbados","2008","Changes in inventories","6850000"
"Barbados","2008","Exports of goods and services","2090350000"
"Barbados","2008","Imports of goods and services","2433500000"
"Barbados","2008","Gross Domestic Product (GDP)","4784925000"
"Barbados","2007","Final consumption expenditure","3841035000"
"Barbados","2007","Household consumption expenditure (including Non-profit institutions serving households)","3232755000"
"Barbados","2007","General government final consumption expenditure","608280000"
"Barbados","2007","Gross capital formation","886900000"
"Barbados","2007","Gross fixed capital formation (including Acquisitions less disposals of valuables)","881150000"
"Barbados","2007","Changes in inventories","5750000"
"Barbados","2007","Exports of goods and services","2043900000"
"Barbados","2007","Imports of goods and services","2216150000"
"Barbados","2007","Gross Domestic Product (GDP)","4674010000"
"Barbados","2006","Final consumption expenditure","3595315000"
"Barbados","2006","Household consumption expenditure (including Non-profit institutions serving households)","2983465000"
"Barbados","2006","General government final consumption expenditure","611850000"
"Barbados","2006","Gross capital formation","897105000"
"Barbados","2006","Gross fixed capital formation (including Acquisitions less disposals of valuables)","892045000"
"Barbados","2006","Changes in inventories","5060000"
"Barbados","2006","Exports of goods and services","1938700000"
"Barbados","2006","Imports of goods and services","2131850000"
"Barbados","2006","Gross Domestic Product (GDP)","4217450000"
"Barbados","2005","Final consumption expenditure","3318264196"
"Barbados","2005","Household consumption expenditure (including Non-profit institutions serving households)","2680514196"
"Barbados","2005","General government final consumption expenditure","637750000"
"Barbados","2005","Gross capital formation","722640276.5"
"Barbados","2005","Gross fixed capital formation (including Acquisitions less disposals of valuables)","717790232.5"
"Barbados","2005","Changes in inventories","4850044"
"Barbados","2005","Exports of goods and services","1711700000"
"Barbados","2005","Imports of goods and services","2016750000"
"Barbados","2005","Gross Domestic Product (GDP)","3935512483"
"Barbados","2004","Final consumption expenditure","2966710316"
"Barbados","2004","Household consumption expenditure (including Non-profit institutions serving households)","2358060316"
"Barbados","2004","General government final consumption expenditure","608650000"
"Barbados","2004","Gross capital formation","662636932"
"Barbados","2004","Gross fixed capital formation (including Acquisitions less disposals of valuables)","658036883.5"
"Barbados","2004","Changes in inventories","4600048.5"
"Barbados","2004","Exports of goods and services","1435900000"
"Barbados","2004","Imports of goods and services","1734650000"
"Barbados","2004","Gross Domestic Product (GDP)","3548807711.5"
"Barbados","2003","Final consumption expenditure","2670336544.5"
"Barbados","2003","Household consumption expenditure (including Non-profit institutions serving households)","2049636544.5"
"Barbados","2003","General government final consumption expenditure","620700000"
"Barbados","2003","Gross capital formation","586232674"
"Barbados","2003","Gross fixed capital formation (including Acquisitions less disposals of valuables)","589133021.5"
"Barbados","2003","Changes in inventories","-2900347.5"
"Barbados","2003","Exports of goods and services","1378750000"
"Barbados","2003","Imports of goods and services","1512750000"
"Barbados","2003","Gross Domestic Product (GDP)","3306959447.5"
"Barbados","2002","Final consumption expenditure","2649602936"
"Barbados","2002","Household consumption expenditure (including Non-profit institutions serving households)","2194852936"
"Barbados","2002","General government final consumption expenditure","454750000"
"Barbados","2002","Gross capital formation","540630132"
"Barbados","2002","Gross fixed capital formation (including Acquisitions less disposals of valuables)","548430740"
"Barbados","2002","Changes in inventories","-7800608"
"Barbados","2002","Exports of goods and services","1211100000"
"Barbados","2002","Imports of goods and services","1381950000"
"Barbados","2002","Gross Domestic Product (GDP)","3200677486"
"Barbados","2001","Final consumption expenditure","2643181380.5"
"Barbados","2001","Household consumption expenditure (including Non-profit institutions serving households)","2222531380.5"
"Barbados","2001","General government final consumption expenditure","420650000"
"Barbados","2001","Gross capital formation","477326604"
"Barbados","2001","Gross fixed capital formation (including Acquisitions less disposals of valuables)","499678007.5"
"Barbados","2001","Changes in inventories","-22351403.5"
"Barbados","2001","Exports of goods and services","1251500000"
"Barbados","2001","Imports of goods and services","1386450000"
"Barbados","2001","Gross Domestic Product (GDP)","3147208318.5"
"Barbados","2000","Final consumption expenditure","2587437395"
"Barbados","2000","Household consumption expenditure (including Non-profit institutions serving households)","2173187395"
"Barbados","2000","General government final consumption expenditure","414250000"
"Barbados","2000","Gross capital formation","554030879"
"Barbados","2000","Gross fixed capital formation (including Acquisitions less disposals of valuables)","550330846.5"
"Barbados","2000","Changes in inventories","3700032.5"
"Barbados","2000","Exports of goods and services","1322800000"
"Barbados","2000","Imports of goods and services","1448450000"
"Barbados","2000","Gross Domestic Product (GDP)","3152105872"
"Barbados","1999","Final consumption expenditure","2490411662"
"Barbados","1999","Household consumption expenditure (including Non-profit institutions serving households)","2104611662"
"Barbados","1999","General government final consumption expenditure","385800000"
"Barbados","1999","Gross capital formation","579282286.5"
"Barbados","1999","Gross fixed capital formation (including Acquisitions less disposals of valuables)","564581645"
"Barbados","1999","Changes in inventories","14700641.5"
"Barbados","1999","Exports of goods and services","1237450000"
"Barbados","1999","Imports of goods and services","1380500000"
"Barbados","1999","Gross Domestic Product (GDP)","3058799903"
"Barbados","1998","Final consumption expenditure","2346137667.5"
"Barbados","1998","Household consumption expenditure (including Non-profit institutions serving households)","1965837667.5"
"Barbados","1998","General government final consumption expenditure","380300000"
"Barbados","1998","Gross capital formation","535929870"
"Barbados","1998","Gross fixed capital formation (including Acquisitions less disposals of valuables)","531479790"
"Barbados","1998","Changes in inventories","4450080"
"Barbados","1998","Exports of goods and services","1201000000"
"Barbados","1998","Imports of goods and services","1293300000"
"Barbados","1998","Gross Domestic Product (GDP)","2919042910.5"
"Barbados","1997","Final consumption expenditure","2139197236"
"Barbados","1997","Household consumption expenditure (including Non-profit institutions serving households)","1812747236"
"Barbados","1997","General government final consumption expenditure","326450000"
"Barbados","1997","Gross capital formation","387321587.5"
"Barbados","1997","Gross fixed capital formation (including Acquisitions less disposals of valuables)","385121586.5"
"Barbados","1997","Changes in inventories","2200001"
"Barbados","1997","Exports of goods and services","1168250000"
"Barbados","1997","Imports of goods and services","1237800000"
"Barbados","1997","Gross Domestic Product (GDP)","2588836721"
"Barbados","1996","Final consumption expenditure","1991550328"
"Barbados","1996","Household consumption expenditure (including Non-profit institutions serving households)","1675500328"
"Barbados","1996","General government final consumption expenditure","316050000"
"Barbados","1996","Gross capital formation","287916047"
"Barbados","1996","Gross fixed capital formation (including Acquisitions less disposals of valuables)","299116765.5"
"Barbados","1996","Changes in inventories","-11200718.5"
"Barbados","1996","Exports of goods and services","1140750000"
"Barbados","1996","Imports of goods and services","1079750000"
"Barbados","1996","Gross Domestic Product (GDP)","2449281689"
"Barbados","1995","Final consumption expenditure","1887601170"
"Barbados","1995","Household consumption expenditure (including Non-profit institutions serving households)","1612651170"
"Barbados","1995","General government final consumption expenditure","274950000"
"Barbados","1995","Gross capital formation","269715032.5"
"Barbados","1995","Gross fixed capital formation (including Acquisitions less disposals of valuables)","260014574"
"Barbados","1995","Changes in inventories","9700458.5"
"Barbados","1995","Exports of goods and services","1044800000"
"Barbados","1995","Imports of goods and services","1004100000"
"Barbados","1995","Gross Domestic Product (GDP)","2297053606.5"
"Barbados","1994","Final consumption expenditure","1716275049.5"
"Barbados","1994","Household consumption expenditure (including Non-profit institutions serving households)","1454025049.5"
"Barbados","1994","General government final consumption expenditure","262250000"
"Barbados","1994","Gross capital formation","239663357.5"
"Barbados","1994","Gross fixed capital formation (including Acquisitions less disposals of valuables)","228112786"
"Barbados","1994","Changes in inventories","11550571.5"
"Barbados","1994","Exports of goods and services","979100000"
"Barbados","1994","Imports of goods and services","825700000"
"Barbados","1994","Gross Domestic Product (GDP)","2184662325.5"
"Barbados","1993","Final consumption expenditure","1689986979"
"Barbados","1993","Household consumption expenditure (including Non-profit institutions serving households)","1430736979"
"Barbados","1993","General government final consumption expenditure","259250000"
"Barbados","1993","Gross capital formation","198911086.5"
"Barbados","1993","Gross fixed capital formation (including Acquisitions less disposals of valuables)","191960759.5"
"Barbados","1993","Changes in inventories","6950327"
"Barbados","1993","Exports of goods and services","877400000"
"Barbados","1993","Imports of goods and services","784300000"
"Barbados","1993","Gross Domestic Product (GDP)","2077925952"
"Barbados","1992","Final consumption expenditure","1606001492.5"
"Barbados","1992","Household consumption expenditure (including Non-profit institutions serving households)","1367601492.5"
"Barbados","1992","General government final consumption expenditure","238400000"
"Barbados","1992","Gross capital formation","137607669.5"
"Barbados","1992","Gross fixed capital formation (including Acquisitions less disposals of valuables)","162009080.5"
"Barbados","1992","Changes in inventories","-24401411"
"Barbados","1992","Exports of goods and services","808900000"
"Barbados","1992","Imports of goods and services","676900000"
"Barbados","1992","Gross Domestic Product (GDP)","1970028302.5"
"Barbados","1991","Final consumption expenditure","1667104873"
"Barbados","1991","Household consumption expenditure (including Non-profit institutions serving households)","1395804873"
"Barbados","1991","General government final consumption expenditure","271300000"
"Barbados","1991","Gross capital formation","271865152.5"
"Barbados","1991","Gross fixed capital formation (including Acquisitions less disposals of valuables)","257114411.5"
"Barbados","1991","Changes in inventories","14750741"
"Barbados","1991","Exports of goods and services","824200000"
"Barbados","1991","Imports of goods and services","841550000"
"Barbados","1991","Gross Domestic Product (GDP)","2038240620.5"
"Barbados","1990","Final consumption expenditure","1631942915"
"Barbados","1990","Household consumption expenditure (including Non-profit institutions serving households)","1344742915"
"Barbados","1990","General government final consumption expenditure","287200000"
"Barbados","1990","Gross capital formation","302116838.5"
"Barbados","1990","Gross fixed capital formation (including Acquisitions less disposals of valuables)","303667020.5"
"Barbados","1990","Changes in inventories","-1550182"
"Barbados","1990","Exports of goods and services","872750000"
"Barbados","1990","Imports of goods and services","877650000"
"Barbados","1990","Gross Domestic Product (GDP)","2054700440"
"Barbados","1989","Final consumption expenditure","1580185137"
"Barbados","1989","Household consumption expenditure (including Non-profit institutions serving households)","1325940478"
"Barbados","1989","General government final consumption expenditure","254244659"
"Barbados","1989","Gross capital formation","305844950"
"Barbados","1989","Gross fixed capital formation (including Acquisitions less disposals of valuables)","300822911"
"Barbados","1989","Changes in inventories","5022039"
"Barbados","1989","Exports of goods and services","890677203.5"
"Barbados","1989","Imports of goods and services","850869221.5"
"Barbados","1989","Gross Domestic Product (GDP)","2046876309"
"Barbados","1988","Final consumption expenditure","1453823831.5"
"Barbados","1988","Household consumption expenditure (including Non-profit institutions serving households)","1231375280.5"
"Barbados","1988","General government final consumption expenditure","222448551"
"Barbados","1988","Gross capital formation","253185374.5"
"Barbados","1988","Gross fixed capital formation (including Acquisitions less disposals of valuables)","249395807.5"
"Barbados","1988","Changes in inventories","3789567"
"Barbados","1988","Exports of goods and services","779962514"
"Barbados","1988","Imports of goods and services","737383824"
"Barbados","1988","Gross Domestic Product (GDP)","1851034127"
"Barbados","1987","Final consumption expenditure","1394334051"
"Barbados","1987","Household consumption expenditure (including Non-profit institutions serving households)","1188363170"
"Barbados","1987","General government final consumption expenditure","205970881"
"Barbados","1987","Gross capital formation","217488706.5"
"Barbados","1987","Gross fixed capital formation (including Acquisitions less disposals of valuables)","214427242"
"Barbados","1987","Changes in inventories","3061464.5"
"Barbados","1987","Exports of goods and services","692341369"
"Barbados","1987","Imports of goods and services","653293166.5"
"Barbados","1987","Gross Domestic Product (GDP)","1740242041.5"
"Barbados","1986","Final consumption expenditure","1233937238"
"Barbados","1986","Household consumption expenditure (including Non-profit institutions serving households)","1039848496.5"
"Barbados","1986","General government final consumption expenditure","194088741.5"
"Barbados","1986","Gross capital formation","197496708.5"
"Barbados","1986","Gross fixed capital formation (including Acquisitions less disposals of valuables)","199227572.5"
"Barbados","1986","Changes in inventories","-1730864"
"Barbados","1986","Exports of goods and services","772832963.5"
"Barbados","1986","Imports of goods and services","707594523.5"
"Barbados","1986","Gross Domestic Product (GDP)","1580355027"
"Barbados","1985","Final consumption expenditure","1047128092"
"Barbados","1985","Household consumption expenditure (including Non-profit institutions serving households)","858214498"
"Barbados","1985","General government final consumption expenditure","188913594"
"Barbados","1985","Gross capital formation","173263983.5"
"Barbados","1985","Gross fixed capital formation (including Acquisitions less disposals of valuables)","169853977.5"
"Barbados","1985","Changes in inventories","3410006"
"Barbados","1985","Exports of goods and services","843508509.5"
"Barbados","1985","Imports of goods and services","713956808"
"Barbados","1985","Gross Domestic Product (GDP)","1439341489"
"Barbados","1984","Final consumption expenditure","1040314426.5"
"Barbados","1984","Household consumption expenditure (including Non-profit institutions serving households)","879843445"
"Barbados","1984","General government final consumption expenditure","160470981.5"
"Barbados","1984","Gross capital formation","174242613"
"Barbados","1984","Gross fixed capital formation (including Acquisitions less disposals of valuables)","177034189.5"
"Barbados","1984","Changes in inventories","-2791576.5"
"Barbados","1984","Exports of goods and services","855752738"
"Barbados","1984","Imports of goods and services","763030241.5"
"Barbados","1984","Gross Domestic Product (GDP)","1375374738"
"Barbados","1983","Final consumption expenditure","955112355.5"
"Barbados","1983","Household consumption expenditure (including Non-profit institutions serving households)","811822864.5"
"Barbados","1983","General government final consumption expenditure","143289491"
"Barbados","1983","Gross capital formation","196285072.5"
"Barbados","1983","Gross fixed capital formation (including Acquisitions less disposals of valuables)","193539352.5"
"Barbados","1983","Changes in inventories","2745720"
"Barbados","1983","Exports of goods and services","769681495.5"
"Barbados","1983","Imports of goods and services","722834414"
"Barbados","1983","Gross Domestic Product (GDP)","1261835248"
"Barbados","1982","Final consumption expenditure","912271256"
"Barbados","1982","Household consumption expenditure (including Non-profit institutions serving households)","776061367"
"Barbados","1982","General government final consumption expenditure","136209889"
"Barbados","1982","Gross capital formation","209939281"
"Barbados","1982","Gross fixed capital formation (including Acquisitions less disposals of valuables)","211862880.5"
"Barbados","1982","Changes in inventories","-1923599.5"
"Barbados","1982","Exports of goods and services","656228645"
"Barbados","1982","Imports of goods and services","652356086"
"Barbados","1982","Gross Domestic Product (GDP)","1188551211"
"Barbados","1981","Final consumption expenditure","892021457.5"
"Barbados","1981","Household consumption expenditure (including Non-profit institutions serving households)","759040860.5"
"Barbados","1981","General government final consumption expenditure","132980597"
"Barbados","1981","Gross capital formation","244657319.5"
"Barbados","1981","Gross fixed capital formation (including Acquisitions less disposals of valuables)","241469599.5"
"Barbados","1981","Changes in inventories","3187720"
"Barbados","1981","Exports of goods and services","587877952.5"
"Barbados","1981","Imports of goods and services","648459803.5"
"Barbados","1981","Gross Domestic Product (GDP)","1137545043.5"
"Barbados","1980","Final consumption expenditure","771189177"
"Barbados","1980","Household consumption expenditure (including Non-profit institutions serving households)","664291325"
"Barbados","1980","General government final consumption expenditure","106897852"
"Barbados","1980","Gross capital formation","197729715.5"
"Barbados","1980","Gross fixed capital formation (including Acquisitions less disposals of valuables)","184307651.5"
"Barbados","1980","Changes in inventories","13422064"
"Barbados","1980","Exports of goods and services","627038818"
"Barbados","1980","Imports of goods and services","614922180.5"
"Barbados","1980","Gross Domestic Product (GDP)","1033561744"
"Barbados","1979","Final consumption expenditure","680203691"
"Barbados","1979","Household consumption expenditure (including Non-profit institutions serving households)","593137005"
"Barbados","1979","General government final consumption expenditure","87066686"
"Barbados","1979","Gross capital formation","147819622.5"
"Barbados","1979","Gross fixed capital formation (including Acquisitions less disposals of valuables)","139361389"
"Barbados","1979","Changes in inventories","8458233.5"
"Barbados","1979","Exports of goods and services","455722947.5"
"Barbados","1979","Imports of goods and services","506270146"
"Barbados","1979","Gross Domestic Product (GDP)","805288240"
"Barbados","1978","Final consumption expenditure","559167655.5"
"Barbados","1978","Household consumption expenditure (including Non-profit institutions serving households)","480629613"
"Barbados","1978","General government final consumption expenditure","78538042.5"
"Barbados","1978","Gross capital formation","118600548"
"Barbados","1978","Gross fixed capital formation (including Acquisitions less disposals of valuables)","117634253.5"
"Barbados","1978","Changes in inventories","966294.5"
"Barbados","1978","Exports of goods and services","333642307.5"
"Barbados","1978","Imports of goods and services","374881576.5"
"Barbados","1978","Gross Domestic Product (GDP)","664155249.5"
"Barbados","1977","Final consumption expenditure","499713502"
"Barbados","1977","Household consumption expenditure (including Non-profit institutions serving households)","428462067.5"
"Barbados","1977","General government final consumption expenditure","71251434.5"
"Barbados","1977","Gross capital formation","111190926.5"
"Barbados","1977","Gross fixed capital formation (including Acquisitions less disposals of valuables)","109708045.5"
"Barbados","1977","Changes in inventories","1482881"
"Barbados","1977","Exports of goods and services","254545625.5"
"Barbados","1977","Imports of goods and services","299421924.5"
"Barbados","1977","Gross Domestic Product (GDP)","593439438.5"
"Barbados","1976","Final consumption expenditure","459683170.5"
"Barbados","1976","Household consumption expenditure (including Non-profit institutions serving households)","397001781"
"Barbados","1976","General government final consumption expenditure","62681389.5"
"Barbados","1976","Gross capital formation","109932689"
"Barbados","1976","Gross fixed capital formation (including Acquisitions less disposals of valuables)","107843055.5"
"Barbados","1976","Changes in inventories","2089633.5"
"Barbados","1976","Exports of goods and services","209856775"
"Barbados","1976","Imports of goods and services","279151391"
"Barbados","1976","Gross Domestic Product (GDP)","521708282.5"
"Barbados","1975","Final consumption expenditure","422282441.05553"
"Barbados","1975","Household consumption expenditure (including Non-profit institutions serving households)","366995188.72658"
"Barbados","1975","General government final consumption expenditure","55287252.32895"
"Barbados","1975","Gross capital formation","72111131.6483549"
"Barbados","1975","Gross fixed capital formation (including Acquisitions less disposals of valuables)","69976393.768634"
"Barbados","1975","Changes in inventories","2134737.87972091"
"Barbados","1975","Exports of goods and services","209482232.012139"
"Barbados","1975","Imports of goods and services","239800614.649587"
"Barbados","1975","Gross Domestic Product (GDP)","480681170.392157"
"Barbados","1974","Final consumption expenditure","358257340.728137"
"Barbados","1974","Household consumption expenditure (including Non-profit institutions serving households)","305548856.050969"
"Barbados","1974","General government final consumption expenditure","52708484.6771689"
"Barbados","1974","Gross capital formation","76805349.6425385"
"Barbados","1974","Gross fixed capital formation (including Acquisitions less disposals of valuables)","70258531.1968548"
"Barbados","1974","Changes in inventories","6546818.44568373"
"Barbados","1974","Exports of goods and services","182525200.176354"
"Barbados","1974","Imports of goods and services","225890616.862875"
"Barbados","1974","Gross Domestic Product (GDP)","408931501.853069"
"Barbados","1973","Final consumption expenditure","321594967.978618"
"Barbados","1973","Household consumption expenditure (including Non-profit institutions serving households)","268079378.999964"
"Barbados","1973","General government final consumption expenditure","53515588.9786545"
"Barbados","1973","Gross capital formation","62525411.3354042"
"Barbados","1973","Gross fixed capital formation (including Acquisitions less disposals of valuables)","57195802.0339105"
"Barbados","1973","Changes in inventories","5329609.30149369"
"Barbados","1973","Exports of goods and services","147765993.908359"
"Barbados","1973","Imports of goods and services","195988313.037174"
"Barbados","1973","Gross Domestic Product (GDP)","341996846.295133"
"Barbados","1972","Final consumption expenditure","270542940.548935"
"Barbados","1972","Household consumption expenditure (including Non-profit institutions serving households)","230829384.591871"
"Barbados","1972","General government final consumption expenditure","39713555.9570636"
"Barbados","1972","Gross capital formation","51358022.5253247"
"Barbados","1972","Gross fixed capital formation (including Acquisitions less disposals of valuables)","46980311.3690845"
"Barbados","1972","Changes in inventories","4377711.15624016"
"Barbados","1972","Exports of goods and services","130219593.446851"
"Barbados","1972","Imports of goods and services","174502595.166147"
"Barbados","1972","Gross Domestic Product (GDP)","280300466.817189"
"Barbados","1971","Final consumption expenditure","231927257.518916"
"Barbados","1971","Household consumption expenditure (including Non-profit institutions serving households)","196314000.50062"
"Barbados","1971","General government final consumption expenditure","35613257.0182956"
"Barbados","1971","Gross capital formation","46559859.402504"
"Barbados","1971","Gross fixed capital formation (including Acquisitions less disposals of valuables)","42591139.1412932"
"Barbados","1971","Changes in inventories","3968720.26121086"
"Barbados","1971","Exports of goods and services","107473659.918441"
"Barbados","1971","Imports of goods and services","144275153.47348"
"Barbados","1971","Gross Domestic Product (GDP)","245022767.820476"
"Barbados","1970","Final consumption expenditure","215797750.892101"
"Barbados","1970","Household consumption expenditure (including Non-profit institutions serving households)","184849175.907575"
"Barbados","1970","General government final consumption expenditure","30948574.9845257"
"Barbados","1970","Gross capital formation","46864815.9765676"
"Barbados","1970","Gross fixed capital formation (including Acquisitions less disposals of valuables)","42870101.4785649"
"Barbados","1970","Changes in inventories","3994714.49800264"
"Barbados","1970","Exports of goods and services","92917284.9535414"
"Barbados","1970","Imports of goods and services","136576678.931712"
"Barbados","1970","Gross Domestic Product (GDP)","217984527.391008"

