"Country or Area","Year","Area","Sex","Religion","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Barbados","2010","Total","Female","Nazarene","Census - de jure - complete tabulation","Final figure, complete","2016","4341","1"
"Barbados","2010","Total","Female","Pentecostal","Census - de jure - complete tabulation","Final figure, complete","2016","26118","1"
"Barbados","2010","Total","Female","Rastafarian","Census - de jure - complete tabulation","Final figure, complete","2016","542","1"
"Barbados","2010","Total","Female","Roman Catholic","Census - de jure - complete tabulation","Final figure, complete","2016","4907","1"
"Barbados","2010","Total","Female","Salvation Army","Census - de jure - complete tabulation","Final figure, complete","2016","523","1"
"Barbados","2010","Total","Female","Wesleyan","Census - de jure - complete tabulation","Final figure, complete","2016","4470","1"
"Barbados","2010","Total","Female","Other Christians","Census - de jure - complete tabulation","Final figure, complete","2016","4060","1"
"Barbados","2010","Total","Female","No Religion","Census - de jure - complete tabulation","Final figure, complete","2016","17274","1"
"Barbados","2010","Total","Female","Not Specified","Census - de jure - complete tabulation","Final figure, complete","2016","1670","1"
"Barbados","2010","Total","Female","Other Non-Christians","Census - de jure - complete tabulation","Final figure, complete","2016","303","1"
"Barbados","2000","Total","Both Sexes","Total","Census - de facto - complete tabulation","Final figure, complete","2008","250010",""
"Barbados","2000","Total","Both Sexes","Adventist","Census - de facto - complete tabulation","Final figure, complete","2008","13726",""
"Barbados","2000","Total","Both Sexes","Anglican","Census - de facto - complete tabulation","Final figure, complete","2008","70705",""
"Barbados","2000","Total","Both Sexes","Baha'i","Census - de facto - complete tabulation","Final figure, complete","2008","178",""
"Barbados","2000","Total","Both Sexes","Baptist","Census - de facto - complete tabulation","Final figure, complete","2008","4689",""
"Barbados","2000","Total","Both Sexes","Brethren","Census - de facto - complete tabulation","Final figure, complete","2008","1600",""
"Barbados","2000","Total","Both Sexes","Church of God","Census - de facto - complete tabulation","Final figure, complete","2008","4966",""
"Barbados","2000","Total","Both Sexes","Hindu","Census - de facto - complete tabulation","Final figure, complete","2008","840",""
"Barbados","2000","Total","Both Sexes","Jehovah Witness","Census - de facto - complete tabulation","Final figure, complete","2008","4902",""
"Barbados","2000","Total","Both Sexes","Jewish","Census - de facto - complete tabulation","Final figure, complete","2008","96",""
"Barbados","2000","Total","Both Sexes","Methodist","Census - de facto - complete tabulation","Final figure, complete","2008","12665",""
"Barbados","2000","Total","Both Sexes","Moravian","Census - de facto - complete tabulation","Final figure, complete","2008","3352",""
"Barbados","2000","Total","Both Sexes","Mormon","Census - de facto - complete tabulation","Final figure, complete","2008","214",""
"Barbados","2000","Total","Both Sexes","Muslim","Census - de facto - complete tabulation","Final figure, complete","2008","1657",""
"Barbados","2000","Total","Both Sexes","Pentecostal","Census - de facto - complete tabulation","Final figure, complete","2008","46726",""
"Barbados","2000","Total","Both Sexes","Rastafarian","Census - de facto - complete tabulation","Final figure, complete","2008","2859",""
"Barbados","2000","Total","Both Sexes","Roman Catholic","Census - de facto - complete tabulation","Final figure, complete","2008","10443",""
"Barbados","2000","Total","Both Sexes","Salvation Army","Census - de facto - complete tabulation","Final figure, complete","2008","1057",""
"Barbados","2000","Total","Both Sexes","Other Christians","Census - de facto - complete tabulation","Final figure, complete","2008","16609",""
"Barbados","2000","Total","Both Sexes","No Religion","Census - de facto - complete tabulation","Final figure, complete","2008","43245",""
"Barbados","2000","Total","Both Sexes","Not Specified","Census - de facto - complete tabulation","Final figure, complete","2008","8188",""
"Barbados","2000","Total","Both Sexes","Other Non-Christians","Census - de facto - complete tabulation","Final figure, complete","2008","1293",""
"Barbados","2000","Total","Male","Total","Census - de facto - complete tabulation","Final figure, complete","2008","119926",""
"Barbados","2000","Total","Male","Adventist","Census - de facto - complete tabulation","Final figure, complete","2008","5989",""
"Barbados","2000","Total","Male","Anglican","Census - de facto - complete tabulation","Final figure, complete","2008","32240",""
"Barbados","2000","Total","Male","Baha'i","Census - de facto - complete tabulation","Final figure, complete","2008","79",""
"Barbados","2000","Total","Male","Baptist","Census - de facto - complete tabulation","Final figure, complete","2008","1942",""
"Barbados","2000","Total","Male","Brethren","Census - de facto - complete tabulation","Final figure, complete","2008","646",""
"Barbados","2000","Total","Male","Church of God","Census - de facto - complete tabulation","Final figure, complete","2008","2031",""
"Barbados","2000","Total","Male","Hindu","Census - de facto - complete tabulation","Final figure, complete","2008","430",""
"Barbados","2000","Total","Male","Jehovah Witness","Census - de facto - complete tabulation","Final figure, complete","2008","2005",""
"Barbados","2000","Total","Male","Jewish","Census - de facto - complete tabulation","Final figure, complete","2008","53",""
"Barbados","2000","Total","Male","Methodist","Census - de facto - complete tabulation","Final figure, complete","2008","5299",""
"Barbados","2000","Total","Male","Moravian","Census - de facto - complete tabulation","Final figure, complete","2008","1387",""
"Barbados","2000","Total","Male","Mormon","Census - de facto - complete tabulation","Final figure, complete","2008","89",""
"Barbados","2000","Total","Male","Muslim","Census - de facto - complete tabulation","Final figure, complete","2008","882",""
"Barbados","2000","Total","Male","Pentecostal","Census - de facto - complete tabulation","Final figure, complete","2008","18686",""
"Barbados","2000","Total","Male","Rastafarian","Census - de facto - complete tabulation","Final figure, complete","2008","2245",""
"Barbados","2000","Total","Male","Roman Catholic","Census - de facto - complete tabulation","Final figure, complete","2008","4492",""
"Barbados","2000","Total","Male","Salvation Army","Census - de facto - complete tabulation","Final figure, complete","2008","417",""
"Barbados","2000","Total","Male","Other Christians","Census - de facto - complete tabulation","Final figure, complete","2008","7243",""
"Barbados","2000","Total","Male","No Religion","Census - de facto - complete tabulation","Final figure, complete","2008","28391",""
"Barbados","2000","Total","Male","Not Specified","Census - de facto - complete tabulation","Final figure, complete","2008","4713",""
"Barbados","2000","Total","Male","Other Non-Christians","Census - de facto - complete tabulation","Final figure, complete","2008","667",""
"Barbados","2000","Total","Female","Total","Census - de facto - complete tabulation","Final figure, complete","2008","130084",""
"Barbados","2000","Total","Female","Adventist","Census - de facto - complete tabulation","Final figure, complete","2008","7737",""
"Barbados","2000","Total","Female","Anglican","Census - de facto - complete tabulation","Final figure, complete","2008","38465",""
"Barbados","2000","Total","Female","Baha'i","Census - de facto - complete tabulation","Final figure, complete","2008","99",""
"Barbados","2000","Total","Female","Baptist","Census - de facto - complete tabulation","Final figure, complete","2008","2747",""
"Barbados","2000","Total","Female","Brethren","Census - de facto - complete tabulation","Final figure, complete","2008","954",""
"Barbados","2000","Total","Female","Church of God","Census - de facto - complete tabulation","Final figure, complete","2008","2935",""
"Barbados","2000","Total","Female","Hindu","Census - de facto - complete tabulation","Final figure, complete","2008","410",""
"Barbados","2000","Total","Female","Jehovah Witness","Census - de facto - complete tabulation","Final figure, complete","2008","2897",""
"Barbados","2000","Total","Female","Jewish","Census - de facto - complete tabulation","Final figure, complete","2008","43",""
"Barbados","2000","Total","Female","Methodist","Census - de facto - complete tabulation","Final figure, complete","2008","7366",""
"Barbados","2000","Total","Female","Moravian","Census - de facto - complete tabulation","Final figure, complete","2008","1965",""
"Barbados","2000","Total","Female","Mormon","Census - de facto - complete tabulation","Final figure, complete","2008","125",""
"Barbados","2000","Total","Female","Muslim","Census - de facto - complete tabulation","Final figure, complete","2008","775",""
"Barbados","2000","Total","Female","Pentecostal","Census - de facto - complete tabulation","Final figure, complete","2008","28040",""
"Barbados","2000","Total","Female","Rastafarian","Census - de facto - complete tabulation","Final figure, complete","2008","614",""
"Barbados","2000","Total","Female","Roman Catholic","Census - de facto - complete tabulation","Final figure, complete","2008","5951",""
"Barbados","2000","Total","Female","Salvation Army","Census - de facto - complete tabulation","Final figure, complete","2008","640",""
"Barbados","2000","Total","Female","Other Christians","Census - de facto - complete tabulation","Final figure, complete","2008","9366",""
"Barbados","2000","Total","Female","No Religion","Census - de facto - complete tabulation","Final figure, complete","2008","14854",""
"Barbados","2000","Total","Female","Not Specified","Census - de facto - complete tabulation","Final figure, complete","2008","3475",""
"Barbados","2000","Total","Female","Other Non-Christians","Census - de facto - complete tabulation","Final figure, complete","2008","626",""

"footnoteSeqID","Footnote"
"1","Data refer to unadjusted resident population and exclude institutional population."
